trace_id,name,date
3451323,Gbaka___Yopougon_Lubafrique___Adjam__Texaco___B___KKO_2020_10_08_13_48_22.gpx,2020-10-08
3451324,Gbaka___Adjam__en_bas_du_pont___Yopougon_Iges___B___KKO_2020_10_08_15_16_18.gpx,2020-10-08
3451322,Gbaka___Adjam__Texaco___Yopougon_Lubafrique___A___KKO_2020_10_08_12_57_08.gpx,2020-10-08
3451321,Gbaka___Yopougon_Iges___Adjam__Mosqu_e_en_bas_du_pont___A___KKO_2020_10_08_11_59_49.gpx,2020-10-08
3418218,Gbaka__Terminus_Mobiboi_Mobiboi___B___BKD_2020_09_18_11_13_20.gpx,2020-09-18
3418229,Gbaka___Abrahams_Corridor___B___BKD_2020_09_18_14_53_23.gpx,2020-09-18
3418233,Gbaka___Usine_Corridor___B___BKD_2020_09_18_13_41_11.gpx,2020-09-18
3418226,Gbaka____l_phant_Corridor___B___BKD_2020_09_18_15_27_23.gpx,2020-09-18
3418216,Gbaka___Belleville_Casiers__B___BKD_2020_09_18_10_00_04.gpx,2020-09-18
3418234,Gbaka___Corridor___Usine___A___BKD_2020_09_18_13_34_14.gpx,2020-09-18
3418231,Gbaka__Corridor_Abrahams__A___BKD_2020_09_18_13_59_18.gpx,2020-09-18
3418217,Gbaka___Mobiboi_Terminus_Mobiboi___A___BKD_2020_09_18_10_25_50.gpx,2020-09-18
3418227,Gbaka___Corridor__l_phant__A___BKD_2020_09_18_15_11_03.gpx,2020-09-18
3418214,Gbaka___Casiers_Belleville__A__BKD_2020_09_18_09_32_04.gpx,2020-09-18
3418224,Woro_Woro___Carrefour_Deux_poteaux__Terre_Rouge___B___BKD_2020_09_18_13_04_32.gpx,2020-09-18
3418222,Woro_Woro___Benogosso_Terre_rouge___B___BKD_2020_09_18_12_30_08.gpx,2020-09-18
3418220,Woro_Woro___Terre_rouge_Benogosso___A___BKD_2020_09_18_12_10_05.gpx,2020-09-18
3418223,Woro_Woro___Terre_Rouge_Carrefour_deux_poteaux__A___BKD_2020_09_18_12_50_34.gpx,2020-09-18
3414529,Gbaka___Yopougon_Zone_Industrielle___Yopougon_Kowe_t___B___KKO_2020_09_15_10_34_39.gpx,2020-09-15
